is_info_useful,missing_info,improvements,date,institution_cat,missing_info_en,improvements_en
1,,"es un verdadero problema encontrar el acceso para ingresar al tramite, en su encabezado deberia haber una opcion que diga ingresar a la cuenta, para realizar el tramite, ya lo he hecho 2 veces y en las 2 veces me he tardado bastante en llegar a esa opcion, y ahora mismo no puedo, por que tan complicado?  en pasaportes debe decir registrarse o entrar, o algo, pero nada nada, estoy enojada,",11,722,,"It is a real problem to find the access to enter the procedure, in your header there should be an option that says enter the account, to carry out the procedure, I have already done it 2 times and in 2 times it took me a long time to get to that option, and right now I can't, why so complicated? in passports it should say register or enter, or something, but nothing nothing, I'm angry,"
0,contesten el telephone mexitel,contestar el telephono para citas,12,742,answer the telephone mexitel,answer the phone for appointments
0,"falta poder realizar o consultar la actualizacion del estado de cuenta en linea, no todos tenemos horario como el de ustedes ni tampoco trabajamos en el centro.",poder consultar o realizar tramites en linea,12,96,"It is necessary to carry out or consult the update of the account statement online, not all of us have hours like yours nor do we work at the center.",be able to consult or carry out procedures online
1,incluir en la hoja de requisitos. como notas de observacion los pormenores mas frecuentes en q nos hayamos implicados tales como:q la acta sea resiente;revisar q no sea contemporanea;y algunos mas q sus empleados ya conocen d sobra...,desentralizar la expedicion de visa y pasaporte.y q al usuario q haya perdido una cita x cuestiones d requisitos darles prioridad en su proxima cita...y q una cita no tenga un tiempo mayor a tres dias d espera del momento q se solicita....q entre en operacion la oficina d enlece de la cd. d coatzacoalcos veracruz xfavor ya q habemos muchos usuario q requerimos dl servicio...,12,741,include on the requirements sheet. As notes of observation the most frequent details in which we have been involved such as: q the minutes are resentful; review that they are not contemporary; and some more that their employees already know about d ...,Decentralize the issuance of visa and passport. And to the user who has missed an appointment x questions d requirements give priority to their next appointment ... and an appointment does not have a time greater than three days d waiting for the moment that is requested ... .q goes into operation the office d lelece of the cd. d coatzacoalcos veracruz xfavor since we have many users who require dl service ...
0,"la liga para generar el pago de derechos nunca aparece, asi como la liga para realizar la solicitud en linea.","la anterior pagina estaba muy clara, los requisitos, solicitudes, seguimiento y pago de derechos, no es funcial como se encuentra ahora.",12,217,"The link to generate the payment of rights never appears, as well as the link to apply online.","The previous page was very clear, the requirements, requests, monitoring and payment of rights, is not functional as it is now."
1,"acuse de recepcion, donde tramitarlo",ah sido dificil mandar las declaraciones con la nueve interfaz,12,355,"acknowledgment of reception, where to process it",It has been difficult to send the statements with the nine interface
0,"¿como rayos agendo una cita por internet, o es unicamente via telefonica? entonces ¿de que sirve la pagina de internet? es ineficiente la pagina contiene informacion irrelevante en el inicio como su estructura, y lo importante para un ciudadano comun no se encuentra.","si existe una pagina de internet, se pueden agendar citas por internet sin necesidad de realizar una llamada, el menu principal deberia ser mas practico, el mencionar la estructura de la secretaria es irrelevante para un ciudadano que busca unicamente los servicios que debe otorgar la secretaria y no los servidores publicos que finalmente no van a ayudar a un ciudadano comun.",12,722,"How the hell do I book an appointment online, or is it only by phone? So what good is the website? It is inefficient the page contains irrelevant information at the beginning as its structure, and what is important for a common citizen is missing.","If there is a website, appointments can be scheduled online without the need to make a call, the main menu should be more practical, mentioning the structure of the secretary is irrelevant for a citizen who is only looking for the services that the secretary must provide and not the public servants who finally are not going to help a common citizen."
0,informacion sobre pagos extras y que se nesesita exactamente,ser mas prudentes y hayudar al cliente como es nesesario no tratarlo como a un inepto o que les estan pidiendo un favor,12,723,information about extra payments and what exactly is needed,Be more prudent and greet the client as it is necessary not to treat him as an inept or that they are asking a favor
1,,"que en las oficinas dieran prioridad al tramite para los niños, ya que el esperar a veces mas de 3 horas hacen que ellos se desesperen.
gracias.",12,726,,"that in the offices they give priority to the process for children, since waiting sometimes more than 3 hours makes them desperate. Thank you."
1,,"que se pueda hacer la citaen linea com antes. en caso de que si se pueda, entonces mejoren la manera en que se navega a traves de su pagina porque no se entiende nada.",12,723,,"that the appointment can be made online com before. In case if you can, then improve the way you navigate through your page because nothing is understood."
1,,"tengo una semana tratando de hacer cita al 01-800 8010773 y la grabacion no me acepta el numero 1 en el menu , ni ningun numero, sigue la grabadora hablando y yo nececito una cita. quiero hacer la cita por internet y no funciona . hablo a la oficina de enlace en apodaca y no contestan. hablo a la oficina de monterrey y me dicen que debo hablar al 01800 que mencione para la cita. y como hago cita sino funciona¡¡¡",12,723,,"I have a week trying to make an appointment at 01-800 8010773 and the recording does not accept the number 1 on the menu, or any number, the recorder continues speaking and I need an appointment. I want to make the appointment online and it does not work. I speak to the liaison office in Apodaca and they do not answer. I speak to the Monterrey office and they tell me that I should call the 01800 that I mention for the appointment. And how do I make an appointment if it doesn't work?"
0,no estan los documentos para el pago de derechos y el formato para realizar el tramite migratorio.,poner toda la informacion que corresponde al tramite. esta muy excasa.,13,220,There are no documents for the payment of rights and the format to carry out the immigration process.,put all the information that corresponds to the procedure. It is very rare.
1,especificar el papeleo q se requiere para el tramite,el tramite en otros estados asi se podra realizar el tramite mas rapido ya q hay q viajar largas distancias,13,213,specify the paperwork that is required for the procedure,the process in other states so the process can be done faster since there are q traveling long distances
0,deben poner un listado con direcciones y telefonos,"ahora bien si ya se contaba con un curp correcto porque ahora no existe? fue error al pasar datos, uno nacio foraneo y tiene que conseguir acta de nacimiento original?
uno no puede corregir los errores de la autoridad",13,520,they must put a list with addresses and phones,"Now if you already had a correct curp because now it does not exist? Was it wrong to pass data, one was born a foreigner and has to get an original birth certificate? one cannot correct the errors of authority"
1,que hay oficinas en todos los estados de la republica mexicana,que hay oficinas en todos los estados de la republica mexicana,13,659,that there are offices in all the states of the Mexican republic,that there are offices in all the states of the Mexican republic
1,,actualizaron la pagina y no aparece el seguimiento de tramite tengo 1 hora tratando de ver el proceso de mi tramite y nada tengo mas de un mes en espera,13,706,,They updated the page and the process follow-up does not appear. I have 1 hour trying to see the process of my procedure and I have nothing waiting for more than a month.
1,"ayer fui a mi cita y no me aceptaron el pago que llevaba del pasaporte, deberian poner un ejemplo o algo para cuando se hacen los pagos por internet.
saludos",sus motivos por rechazo.,13,741,"Yesterday I went to my appointment and they did not accept the payment that I had with my passport, they should give an example or something for when payments are made online. regards",their reasons for rejection.
1,"utilizar un lenguaje mas fluido y no tan ""formal""
por ejemplo: 
los objetivos, o requisitos que requiere el proyecto para su evaluacion, que explicaran mas a detalle pero mas simplificado y resumido.","los objetivos, o requisitos que requiere el proyecto para su evaluacion, que explicaran mas a detalle pero mas simplificado y resumido.",14,491,"use a more fluent and not so ""formal"" language for example: the objectives, or requirements that the project requires for its evaluation, which will be explained in more detail but more simplified and summarized.","the objectives, or requirements that the project requires for its evaluation, which will be explained in more detail but more simplified and summarized."
0,¿donde se agendan las citas? fatal interfase.,"en mucho, derivar en una sola pestaña donde rayos se agendan las citas via internet.",14,732,Where are appointments scheduled? fatal interface.,"by far, derive in a single tab where lightning appointments are scheduled via the internet."
0,"que se indique donde y como bajar el formato de pago y en que institucion bancaria realizarlo.

el formato de la pagina de la secretaria de relaciones exteriores esta muy confusa.

lejos de simplificar los tramites o de encontrar informacion lo confunden mas.","hacer la pagina mas sencilla y no tan complicada.

es imposible acceder al directorio de funcionarios y los datos para contactarlos.

cual simplificacion?

cual transparencia?

un estudiante de bachillerato puede hacer mejor una pagina.",14,722,indicating where and how to download the payment format and in which banking institution to carry it out.  the format of the page of the secretary of foreign relations is very confusing.  far from simplifying the procedures or finding information they confuse it more.,make the page easier and not so complicated.  It is impossible to access the official directory and the data to contact them.  which simplification?  which transparency?  a high school student can make a page better.
1,los numeros de cuenta al que se realiza el deposito y las instituciones bancarias en las que se puede realizar el pago.,mas informacion,15,722,the account numbers to which the deposit is made and the banking institutions in which the payment can be made.,more information
1,"creo que en esta pagina necesita poner el formato de pago de derechos,es que ahora no puedo encontrarlo.especialmente para la persona que no entiende tanto español,como yo.","el website viejo es mejor que lo que nuevo,el nuevo es demasiado complicado",15,218,"I think that on this page you need to put the format of payment of rights, is that now I can not find it, especially for the person who does not understand Spanish as much as I do.","the old website is better than the new one, the new one is too complicated"
0,"como hacer el pago, enlace para la forma de pago y lugares donde se puede pagar",agregando datos y el enlace para imprimir el formato de pago de derechos productos y aprovechamiento,15,723,"how to make the payment, link for the payment method and places where you can pay",adding data and the link to print the product and usage rights payment format
1,no se ubica el formato cd-5,suban y/o faciliten la ubicacion de los formatos.,15,748,cd-5 format is not located,upload and / or facilitate the location of the formats.
0,las ligas de las oficinas de enlace no funcionan y la informacion resulta algo confusa para mucha gente,"que la informacion sea muy concisa, sin tantos saltos de un link a otro (que de todas maneras no funcionan correctamente) y posiblemente un chat en linea pudiera ser de mucha ayuda para ayudar",15,722,the liaison office leagues do not work and the information is somewhat confusing for many people,"That the information is very concise, without so many jumps from one link to another (which in any case do not work correctly) and possibly an online chat could be very helpful to help"
0,enfocarse en poder programar la cita por medio de la web,mejorar el programa para poder agendar citas por la web,15,722,focus on being able to schedule the appointment through the web,improve the program to be able to schedule appointments on the web
0,estatus de tramite,la paguina web,15,659,processing status,the web page
0,proporcionar el nuevo formato dc-4 en version editable,aclarar cuando se puede presentar en electronico o fisico,15,747,provide the new dc-4 format in editable version,clarify when it can be presented electronically or physically
0,los requisitos para tramitar el pasaporte por internet como se anuncio en el mes de septiembre del 2015,"que se pueda renovar el pasaporte por internet como la sre lo anuncio en el mes de septiembre del 2015. ya que no hay disponibilidad para hacer citas para los meses de enero y febrero del 2016,lo cual es una verdadera problematica para los que requerimos renovacion.",15,722,the requirements to process the passport online as announced in September 2015,"that the passport can be renewed online as the sre announced in September 2015. since there is no availability to make appointments for the months of January and February 2016, which is a real problem for those who require renewal ."
0,los pasos para hacer una cita no encuentro la manera de hacerla en internet  hay paginas donde piden un pago para poder hacer una cita y para hacer el pago me piden la cita osea que como??????????????? como hacer una cita?paso a paso,entiendo que quieren agilizar el tramite pero no podrian hacer algo simple para mi ha sido mas sencillo hacer una cita para una visa que para un pasaporte,15,723,"the steps to make an appointment I cannot find the way to do it on the internet there are pages where they ask for a payment to be able to make an appointment and to make the payment they ask me for the appointment, which means that ????????????? ?? how to make an appointment step by step",I understand that they want to speed up the process but they could not do something simple for me it has been easier to make an appointment for a visa than for a passport
0,la cede de tramite para los que vivimos en la delegacion venustiano carranza,"clarar mejor donde se realiza el tramite y que tiempo lleva este. solo se menciona documentacion y costos, pero no dice nada realmente del proceso.",15,722,the process cedes for those of us who live in the Venustiano Carranza delegation,"better clarify where the procedure is carried out and how long it takes. only documentation and costs are mentioned, but it doesn't really say anything about the process."
1,"me informan que puede realizarse la cita via internet, pero no veo ningun enlace para realizar el tramite.",favor de colocar el enlace para solicitar la cita y realizar el pago del pasaporte,15,722,"They inform me that the appointment can be made via the Internet, but I do not see any link to carry out the procedure.",please place the link to request the appointment and make the passport payment
0,el pinche enlace para sacar la cita,el pinche enlace para sacar la cita,16,722,the click link to get the appointment,the click link to get the appointment
1,,"hacer posible realizar pagos en linea, para evitar colas en el banco.",16,214,,"make it possible to make online payments, to avoid queues at the bank."
1,,que las citas sean por internet con opcion a elegir horario.,16,732,,That appointments are online with the option to choose a time.
1,"dice:  ¡consulta como realizar la pre-inscripcion a la educacion basica!

¿y por que no colocar el link que te lleva a esa consulta sugerida ?","necesitan un area de aseguramiento de la calidad, yo puedo ayudarles a eso ... este mi celular 55-2532-5086. ofrezco mis servicios profesionales.",16,0,says: see how to pre-enroll for basic education!  And why not put the link that takes you to that suggested query?,"they need a quality assurance area, I can help them ... this is my cell 55-2532-5086. I offer my professional services."
0,,"todo, como tienen para avion nuevo de peña pero no pueden mejorar este sitio de internet para hacer las citas en  linea",16,722,,"everything, as they have for a new plane from peña but they cannot improve this website to make appointments online"
1,,"en un gobierno tan complejo y controversial como en el que actualmente vivimos, es importante alzar la voz, y si es necesario denunciar y señalar a los malos funcionarios; pero tambien hay que festejar a las instituciones que estan haciendo bien las cosas, y el tramite del pasaporte actualmente es agil, rapido, nada burocratico y con muy buena atencion a los asistentes. el pasado domingo 3 enero asisti a tramitar mi pasaporte en las oficinas de cuajimalpa, el personal en las oficinas te detallan la informacion necesaria, no mas, no menos, la suficiente y clara. dentro de las oficinas habia mujer que evidentemente llevaba su documentacion incompleta, empezo a tener una actitud bastante prepotente al personal que daba los turnos y exigia el suyo, a pesar de que llevaba la documentacion mal. la mujer se acerco a un dictaminador le empezo a gritar groserias y le avento unos documentos, la conducta y actitud de la mujer fue tan explosiva que todos dentro de la oficina nos dimos cuenta. el dictaminador no decia nada, unicamente escuchaba a la señora y respetuosamente la observaba. mi sugerencia es que deberia existir personal de seguridad dentro de las oficinas, porque el personal de las ventanillas, ni tampoco el que entrega los turnos, merecen que señoras como esa tengan conductas tan nefastas y groseras, que pueden poner en peligro la integridad del personal. seguramente como esa mujer ha habido muchas, por lo cual seria indicado para que en cuanto exista una conducta similar de cualquier asistente a las oficinas, sea evacuado inmediatamente.",17,659,,"in a government as complex and controversial as the one we currently live in, it is important to raise your voice, and if necessary denounce and point out bad officials; But you also have to celebrate the institutions that are doing things right, and the passport process is currently agile, fast, not at all bureaucratic and with very good attention to attendees. Last Sunday, January 3, I attended to process my passport in the Cuajimalpa offices, the staff in the offices detail the necessary information, no more, no less, enough and clear. Inside the offices there was a woman who evidently carried her incomplete documentation, she began to have a very arrogant attitude to the staff who took turns and demanded theirs, even though she carried the documentation wrong. The woman approached a dictator and began to shout profanity and throw some documents at her. The woman's behavior and attitude was so explosive that everyone in the office realized it. the judge did not say anything, he only listened to the lady and respectfully observed her. My suggestion is that there should be security personnel within the offices, because the staff at the windows, and also not the one who delivers the shifts, deserve that ladies like that have such harmful and rude behavior, which can endanger the integrity of the personnel. . surely like that woman there have been many, so it would be indicated so that as soon as there is a similar behavior of any assistant to the offices, he is evacuated immediately."
0,den los datos que se solicitan es una perdida de tiempo tramitar las cosas en sus oficinas ya que son muy lentos y atienden pesimo.,todo,17,659,Give the information requested is a waste of time to process things in their offices since they are very slow and attend very pessimistic.,everything
1,,"podrian empezar con tener activa la linea telefonica y el link de internet para agendar las citas, eh intentado hacerlo de ambas formas y ninguna de las dos esta funcionando. 
por su atencion gracias",17,722,,"They could start with having the phone line and the internet link active to schedule appointments, and I have tried to do it both ways and neither is working. For your attention thanks"
0,"donde se hace la cita, no esta claro... donde esta el formato,","la informacion esta muy alargada y hay algunas inconsistencias entre los documentos que se deben presentar, sobre todo en la informacion complementaria",18,723,"where the appointment is made, it is not clear ... where is the format,","the information is very long and there are some inconsistencies between the documents that must be presented, especially in the complementary information"
0,"en caso de renovacion hace falta poner si se ocupan fotos y tambien hace falta el formato para pagar, considero que esta nuev actualizacion  de la pagina hace mas complicado el tramite puesto que la forma de antes era mucho mas facil de entender y todo estaba a la mano, era mas rapido antes y todo quedaba claro ademas no se puede acceder a la opcion de citas por internet.",completar los pasos que debemos seguir por que siento que la informacion esta a medias ademas cambiar el formato de la pagina porque no se entiende.,19,723,"In case of renewal, it is necessary to put if photos are used and also the format to pay, I consider that this new update of the page makes the process more complicated since the way before was much easier to understand and everything was up to date. hand, it was faster before and everything was clear also you can not access the dating option online.","Complete the steps that we must follow because I feel that the information is halfway, in addition to changing the format of the page because it is not understood."
1,,formato basico ¿en donde se puede llenar?,19,217,,basic format where can it be filled?
1,lugares y cuentas y/o referencias para realizar los respectivos pagos,lo que propongo en la seccion anterior.,19,723,places and accounts and / or references to make the respective payments,what I propose in the previous section.
1,,"a la hora de cargar los datos del domicilio como el municipio y la colonia, la pagina se boquea o falla el sistema y tienes que volver a cargar los datos. es muy tardado tienes que intentarlo varias veces. en mi caso abri los exploradores google chrome, mozilla firefox e internet explorer y con todos es el mismo error.",19,22,,"when loading the address data such as the municipality and the neighborhood, the page is blocked or the system fails and you have to reload the data. it is very late you have to try it several times. in my case I opened the google chrome, mozilla firefox and internet explorer browsers and with all of them it is the same error."
1,"yo quiero cambiarme de consultorio, ya que estoy dada de alta en otro municipio y no puedo, ya que tengo que ir directo al nvo consultorio, podrian hacerlo mas facil via internet asi los que tenemos horario corrido se nos fascilitarian los tramites.","el tramite de cambio de consultorios via internet, que no aparezca la pantalla de que ya esta asignado el nss",19,134,"I want to change my office, since I am registered in another municipality and I cannot, since I have to go directly to the new office, they could make it easier via the internet so those of us who have regular hours will be easier to process.","the procedure for changing offices via the internet, that the screen that the nss is already assigned does not appear"
0,"en general, es una porqueria su pagina. no esta a la altura de otras paginas y la informacion  esta pesimamente clasificada. informacion encimada. telefonos mal separados entre si etc.etc.",todo,19,659,"in general, it is crap your page. It is not up to other pages and the information is poorly classified. information above. badly separated telephones, etc. etc.",everything
1,"no dicen la manera en que se paga. ya fui a las oficinas, hice la cita via telefonica, lei en la pagina y no encuentro esa informacion y nadie esta dispuesto a proporcionarla. 
solicito esa informacion para pasar a pagar para mi cita.
correo electronico: juanito_580@hotmail.com","en la seccion que explica que debes llevar dos fotografias, dice que se deben de llevar copias fotostaticas en tamaño carta, pero no se sabe de que. estoy molesto con este servicio y mas con el servicio del personal, a razon que la informacion no es proporcionada a tiempo y asi puedo perder mi cita solo por desinformacion.",20,723,"they do not say how it is paid. I already went to the offices, made the appointment via telephone, I read on the page and I cannot find that information and nobody is willing to provide it. I request that information to proceed to pay for my appointment. email: juanito_580@hotmail.com","In the section that explains that you must carry two photographs, it says that you must carry photographic copies in letter size, but it is not known what. I am upset with this service and more with the service of the staff, because the information is not provided on time and so I can lose my appointment just for disinformation."
0,"no se puede sacar la cita via internet, lo que vuelve pesimo el tramite, ya que la linea 01800 no entre en forma inmediata y mas aun, señalan que el tramite se puede hacer via internet, lo que es falso",que los tramites puedan ser via electronica para ser mas expeditos,20,723,"You can not get the appointment via the Internet, which makes the procedure very bad, since the line 01800 does not enter immediately and even more, they point out that the procedure can be done via the Internet, which is false",that the procedures can be electronically to be more expeditious
1,"todos los documentos deben incluir copia, al igual q se debe llevar original y copia del pasaporte del conyuge.","aclarar la informacion completa necesaria para no perder tiempo en el tramite en las oficinas, ya que el horario de atencion es muy reducido",20,200,"All documents must include a copy, as well as an original and a copy of the spouse's passport.","clarify the complete information necessary to avoid wasting time in the process in the offices, since the hours of operation are very short"
1,indicar fechas o proceso a seguir,esquematizacion del contenido de la pagina para localizar rapidamente la informacion. gracias!,20,0,indicate dates or process to follow,Outline of the content of the page to quickly locate the information. Thank you!
1,la forma para pagar !! donde pago ? dice los montos pero no viene la forma ni donde debo pagar,poner el formato en los costos,20,729,how to pay !! where do I pay ? says the amounts but the form does not come or where should I pay,put the format on costs
1,,que el tramite sea por via internet,20,134,,that the procedure is via the internet
1,donde se puede realizar el pago correspondiente y por ende los numeros de referencia para hacerlo o en su caso poder imprimir una hoja para poder hacer el pago,hacer los pagos en linea por transferencia seria una buena opcion,20,471,"where you can make the corresponding payment and therefore the reference numbers to do it or, where appropriate, to print a sheet to make the payment",making online payments by transfer would be a good option
0,,"que sean serios en este tipo de tramites, son unos burocratas de tercer mundo, tengo mas de dos meses que no me han resuelto mi tramite de cedula",20,600,,"That they be serious in this type of procedures, they are some third world bureaucrats, I have more than two months that they have not solved my paperwork"
0,como es el proceso,no deberian considera la busqueda de un historial crediticio en el buro de credito,21,303,how is the proccess,They should not consider looking for a credit history in the credit bureau.
1,,el centro de atencion 018008010773 deberia tener la capacidad de cancelar o reprogramar citas,21,722,,the call center 018008010773 should have the ability to cancel or reschedule appointments
0,"esta pesima esta pagina! no se encuentra facilmente la informacion y no se encuentra el vinculo para hacer las pre-solicitudes! estaba mejor la anterior, esta parece mas propaganda que otra cosa!..megafail!",ammmm...todoooo!,21,202,"This pity this page! The information is not easily found and the link to make the pre-requests is not found! the previous one was better, this seems more propaganda than anything else! .. megafail!",ammmm ... todoooo!
1,"reimprimir citas de pasaporte, asimismo realizar citas via internet, asi como cancelar citas y reprogramarlas en otra delegacion u oficina de enlace","liberar formatos de op-5, op-7, y todos los demas formatos para eficientar y darle rapidez a los tramites",21,722,"reprint passport appointments, also make appointments via the internet, as well as cancel appointments and reschedule them in another delegation or liaison office","free op-5, op-7 formats, and all other formats to streamline and speed up the procedures"
1,"los requisitos especificos en forma de lista, asi como saber si necesitan copias de los documentos que hay que llevar.",es necesario que especifiquen requisitos ya que por telefono dan informacion diferente.,22,723,"the specific requirements in the form of a list, as well as knowing if they need copies of the documents to be carried.",It is necessary to specify requirements since they give different information by phone.
0,"antes todo era super facil , ahora parece que te hacen un favor en tramitar el pasaporte . antes podias sacar citas por internet ahora solo llamando y nunca contestan",facilitar el tramite simplemente es imposible sacar una cita,22,703,"Before everything was super easy, now it seems that they are doing you a favor in processing the passport. before you could date online now just calling and they never answer",facilitating the process it is simply impossible to make an appointment
0,"la hoja de ayuda para pagos por la supervision de importacion de mercancias para pirotecnia y quimicos, antes era muy sencillo, ahora no la encuentro son 295 pesos",la obtencion de la hoja de ayuda mencionada,22,659,"the help sheet for payments for the supervision of importation of goods for pyrotechnics and chemicals, before it was very simple, now I can not find it is 295 pesos",obtaining the aforementioned help sheet
1,,"es un cuello de botella la captura de datos. es hasta ilogico. 
se recibe informacion o documentos en 4 ventanillas y en solo 3 se toma foto, huellas, captura de iris y firma. es mas tardado.
la gente parada sin un orden.
las personas que estan en ventanilla hablan bajo. por lo que no se escucha cuando llaman. a parte de la gente hablando.
no creo que esto de las citas sirva de mucho. no creo haber recibido un trato mas rapido.",23,659,,"data capture is a bottleneck. it's even illogical. information or documents are received at 4 windows and only 3 take a photo, fingerprints, iris capture and signature. It is longer. people stop without an order. the people at the window speak softly. so it is not heard when they call. apart from people talking. I don't think this dating thing does much good. I do not think I received a faster treatment."
0,"como se ve status del tramite?.
realice el tramite el 10 deenero y no se como va,
luis armando carranza camarena
5546387814",colcandoun modulo de consulta de tramite,23,435,"What does the status of the process look like? I did the procedure on January 10 and I don't know how it goes, Luis Armando Carranza Camarena 5546387814",by taking a form to consult through
1,,"buenas tardes, creo que en la seccion de requisitos punto 2 (en caso de cambio de domicilio, comprobante de domicilio cuya fecha de expedicion no exceda de treinta dias naturales) se deberia especificar ""comprobante de domicilio a nombre del empleador"". saludos",23,210,,"Good afternoon, I think that in the requirements section point 2 (in case of change of address, proof of address whose date of issue does not exceed thirty calendar days) ""proof of address in the name of the employer"" should be specified. regards"
0,"ustedes ponen en la seccion de pago:
""comprobante de pago de derechos productos o aprovechamientos"" - original

y que onda? se lo pido a mi vecina? o voy y le pago a ella o que?","por favor!

pongan en un lugar visible y facil de encontrar una ficha de pago a algun documento para descargar y pagar o aclaren como y donde se realiza el pago. nos ahorrarian mucho tiempo.

gracias!",23,722,"you put in the payment section: ""proof of payment of rights, products or uses"" - original  and what's up? I ask my neighbor? or I go and pay her or what?",please!  Put a document to download and pay in a visible and easy place to find a payment form or clarify how and where the payment is made. they would save us a lot of time.  Thank you!
1,,buenas tardes solicite la beca issfam primaria me la ortogaron me dicen que la transferencia ya se hizo pero ami cuenta no a llegado el pago que debo hacer,24,659,,good afternoon I applied for the primary issfam scholarship I was awarded it they tell me that the transfer has already been made but on my account the payment that I must make has not arrived
1,formato a llenar,las citas que se hagan por internet nuevamente,24,722,format to fill,appointments made online again
1,donde diablos hago la maldita cita?,poner en el punto 1 donde dice que con previa cita el enlace a donde tiene que ir uno a sacar la cita por internet!!!,25,722,where the hell do i make the damn date?,put in point 1 where it says that by appointment the link to where one has to go to get the appointment online !!!
1,no encuentro el apartado para hacer la cita por internet!!,arreglen la pagina!!,26,722,I can't find the section to make the appointment online !!,fix the page !!
1,que el tramite se haga via internet enviando los documentos escaneados para poder hacer la inscripcion de conyuge y/o hijos.,que el tramite se haga via internet enviando los documentos escaneados para poder hacer la inscripcion de conyuge y/o hijos.,26,256,that the procedure be done via the internet sending the scanned documents to be able to register the spouse and / or children.,that the procedure be done via the internet sending the scanned documents to be able to register the spouse and / or children.
0,en donde se debe de pagar el costo del pasaporte?!?!,"agregar mas informacion, relacionada a los costos.",26,701,Where should I pay the cost of the passport?!?!,"add more information, related to costs."
1,"estado de cuenta de cheques reciente de los ultimos 3 meses que contenga el numero de cuenta y la clabe interbancaria, a nombre del ex-trabajador, en lugar del contrato de bancario, ya que en mi caso como el de muchos, la celebracion del contrato fue hace años y por alguna razon no lo tenemos disponible.","sustituir el estado de cuenta de cheques reciente de los ultimos 3 meses que contenga el numero de cuenta y la clabe interbancaria, a nombre del ex-trabajador, en lugar del contrato de bancario, ya que en mi caso como el de muchos, la celebracion del contrato fue hace años y por alguna razon no lo tenemos disponible.",26,272,"Recent checking account statement for the last 3 months that contains the account number and the inter-bank statement, in the name of the ex-worker, instead of the bank contract, since in my case, like many, the conclusion of the contract It was years ago and for some reason we don't have it available.","replace the recent checking account statement of the last 3 months that contains the account number and the interbank key, in the name of the ex-worker, instead of the bank contract, since in my case like many, the celebration The contract was years ago and for some reason we do not have it available."
